news_headline,news_article,news_category
Goa polls expected to be held in Feb 2022: CM amid speculation over early polls,"Amid speculation over early legislative assembly polls in Goa, state Chief Minister Pramod Sawant said that the state legislative assembly elections are likely to be held in February 2022. ""Elections will be on time,"" Sawant added. The CM's statement comes after he recently met senior BJP leaders to discuss the preparations for the elections.",politics
LJP's Prez can only be removed if he dies or resigns: Chirag Paswan,"After reports claimed that Chirag Paswan has been removed as the National President of LJP, he said, ""As per the party's constitution, National President can only be removed if he/she dies or resigns."" Chirag, whose uncle Pashupati Kumar Paras was elected as the LJP parliamentary party leader in Lok Sabha, said, ""All of this had conspired when I wasn't well.""",politics
Gang cheats Punjab Cong men of ₹5 cr imitating Prashant Kishor's style from TV: Report,"Punjab Police have busted a gang for allegedly cheating 30-40 Congress leaders of ₹5 crore, according to The Indian Express. The gang impersonated Prashant Kishor, the principal advisor to CM Captain Amarinder Singh, and promised favourable surveys and poll tickets to the leaders. Police said the key impersonator Gaurav Sharma perfected Kishor's style of speaking after watching him on TV.",politics
Many who left TMC feeling uncomfortable in BJP: MP Sunil Mondal,"Former Trinamool Congress (TMC) leader Sunil Mondal said that many of the leaders who left TMC and joined BJP are feeling uncomfortable in BJP. ""They have not been accepted from the heart. Some people in BJP think it's not right to trust those who are new,"" Mondal added. Mondal had joined BJP ahead of the West Bengal Assembly elections.",politics
"Callers impersonate Prashant Kishor, provoke Punjab leaders against CM","A case has been registered against unknown callers for impersonating political strategist Prashant Kishor and provoking political leaders against Punjab CM Captain Amarinder Singh. In the last few days, the callers asked some leaders to make statements against the Chief Minister and criticise his leadership. Kishor is the principal advisor to the Punjab Chief Minister.",politics
Congress spreading fake news: Patra on calf serum in COVAXIN claim,"After Congress leader Gaurav Pandhi shared an RTI response and claimed that COVID-19 vaccine Covaxin consists of newborn calf serum, BJP leader Sambit Patra said that Congress party is spreading fake news. Terming the statement as a ""great sin"", Patra said, ""Covaxin is 100% safe...One must refer to the clarification given by Centre over the issue.""",politics
Mithun interrogated by Kolkata Police over ‘inciteful’ poll remarks,"Actor and BJP leader Mithun Chakraborty was questioned by the Kolkata Police on Wednesday in connection with a case of using ""inciteful"" language during campaigning for the recently concluded State Assembly polls. According to police, Chakraborty had used a few of his movie dialogues during campaigning. As per the FIR, the complainant alleged that these dialogues were ""inciteful"" in nature.",politics
Feel like an orphan after uncle's betrayal: LJP's Chirag Paswan,"Amid revolt in LJP led by his uncle Pashupati Kumar Paras, Chirag Paswan on Wednesday said, ""I didn't become an orphan when my father (Ram Vilas Paswan) passed away but I did when my uncle betrayed me."" He added that he fought the Bihar elections with LJP's support and that Paras ""did not play any role in the election campaign"". ",politics
Would've made OPS TN CM had he not led dharma yudham: Sasikala in audio clip,"In an audio clip that surfaced, expelled AIADMK leader VK Sasikala is heard saying that she would have made O Panneerselvam the CM of Tamil Nadu had he not led a 'dharma yudham' against her on February 7, 2017. Sasikala added, ""I've been backstabbed so many times that there is no place left now to backstab.""",politics
Not concerned about people: K'taka Cong to BJP amid reports of feud,"As senior leader Arun Singh visited Karnataka reportedly to solve infighting in BJP, Congress on Wednesday asked whether BJP has no time to think about people's problems. Since the BJP government came to power, only internal conflicts made the news, Karnataka Congress tweeted. In another tweet, Congress alleged that the government isn't worried about inflation, coronavirus or unemployment. ",politics
Congress MP summoned by Punjab SC panel for casteist remarks,"The Punjab State Commission for Scheduled Castes summoned Congress MP Ravneet Singh Bittu over a complaint against him for using casteist remarks. A video of Bittu using casteist remarks surfaced on social media after which SAD MLA Pawan Kumar Tinu registered a complaint, Commission chairperson Tejinder Kaur said. ""He has to appear before the commission on June 22,"" she added.",politics
You should be ashamed: UP CM to Rahul over Ghaziabad attack remarks,"UP CM Yogi Adityanath on Tuesday criticised Congress' Rahul Gandhi for his remarks about the alleged attack on an elderly Muslim man in Ghaziabad, saying that ""Lord Ram teaches to speak truth but you have never followed it in your life"". Adityanath said Rahul should be ashamed for ""spreading poison"" even after police's clarification. Police said the crime wasn't communal.",politics
They want to divide & rule: Chirag Paswan blames JD(U) for split in LJP,"After reports claimed Chirag Paswan has been removed as the National President of LJP, the Jamui MP blamed CM Nitish Kumar's JD(U) for creating split within the party. He alleged that the JD(U) first engineered a ""division between Dalits and Mahadalits"" in Bihar and have now targeted the LJP. ""They want to divide and rule,"" Paswan stated.",politics
SP propagating lies about BSP leaders joining their party: Mayawati,"BSP chief Mayawati on Wednesday said that the Samajwadi Party (SP) is propagating lies about some BSP MLAs joining their party, adding that they were suspended long back. She said that the leaders were suspended for conspiring with SP during Rajya Sabha polls. ""If ex-BSP MLAs are inducted into SP, there will be rebellion and split in SP,"" she tweeted.",politics
Case filed against Chirag Paswan's uncle Paras for 'misleading LJP MPs',"A complaint has been filed in Muzaffarpur court against the new LJP leader in Lok Sabha, Pashupati Paras and others for ""misleading MPs of the party and hatching a conspiracy to head the party"". This comes after the Pashupati Kumar Paras-led faction reportedly removed Chirag Paswan from the post of LJP President. The matter will be heard on June 21.",politics
She is not a AIADMK member: D Jayakumar on Sasikala's audio clip,"AIADMK leader D Jayakumar on Wednesday said that Sasikala isn't a member of their party and is following ""divide and rule policy"". This comes days after AIADMK expelled 17 party members for interacting with expelled party leader Sasikala. ""How can she inherit the party? O Panneerselvam and Edappadi K Palaniswami are doing good,"" Jayakumar added.",politics
Delhi unit chief questioned by Kejriwal govt's Drugs Control Dept: BJP,"BJP has claimed that its Delhi unit president, Adesh Gupta, was questioned by Arvind Kejriwal-led Delhi government's Drugs Control Department. BJP added that the questioning was done about the party's oxygen vans launched during the second wave of COVID-19. The department has given a questionnaire to Gupta and has sought his reply by 2 pm on Thursday, BJP stated.",politics
Those alleging scam in Ayodhya deal can withdraw donation: Sakshi Maharaj,"BJP MP Sakshi Maharaj said those who are making allegations of corruption in the construction of the Ram Temple in Ayodhya, UP are ""welcome to withdraw their donation by producing the receipts"". ""If Sanjay Singh of AAP and Akhilesh Yadav (SP chief) have donated something for Ram temple, they can take their donation back by showing the receipts,"" he added.",politics
Will bounce back in state: Newly appointed Kerala Congress chief ,"Addressing the Congress workers, the newly appointed Kerala Pradesh Congress Committee (KPCC) chief, K Sudhakaran expressed confidence that the party has lost nothing in the state and ""will bounce back"". ""I seek the help of each and every Congress worker in the state, please give me your hand...Let us all work at the grassroots to build our party,"" Sudhakaran said.",politics
BJP MLC urges party's K'taka in-charge to replace CM Yediyurappa,"BJP MLC AH Vishwanath on Thursday said Karnataka CM BS Yediyurappa is not in a condition to run the state government. He urged BJP's state in-charge, Arun Singh, to replace Yediyurappa as the public opinion about the Karnataka government and BJP is negative. Vishwanath claimed that Yediyurappa's son and his friends were collecting money and sending it to Delhi.",politics
"3rd COVID wave can hit Maha in 2-4 weeks, active cases may reach 8 lakh: Task force",Maharashtra's COVID-19 task force has said the third wave could hit the state in two to four weeks. The force said that the Delta plus variant could trigger the third wave and active cases could reach up to 8 lakh. It added that lower middle-class clusters that haven't been exposed to the virus so far would be hit the hardest.,national
"Municipal staff members withdraw ₹1 lakh from dead man's ATM card in Bihar, 1 arrested","Municipal staff members in Dehri-on-Sone in Bihar's Rohtas district withdrew over ₹1 lakh from a dead man's ATM card, following which the police arrested a staff member. The arrested staff member confessed to pulling out the card from the dead man's belongings during his cremation. Police said the amount was withdrawn from ATMs of three different banks within 10 days.",national
Delhi records 158 new COVID-19 cases & 10 deaths; positivity rate at 0.20%,Delhi on Thursday reported 158 new COVID-19 cases as compared to 212 cases reported in the city on Wednesday. Delhi's COVID-19 positivity rate on Thursday was 0.20% as compared to 0.27% on Wednesday. As many as 10 more COVID-19 related deaths and 343 recoveries were recorded in the national capital in the last 24 hours.,national
NGO says TN's COVID-19 deaths may be 8-9 times the official count; TN govt denies,"Tamil Nadu government denied underreporting COVID-19 deaths after NGO Arappor Iyakkam's report claimed deaths were underreported at six government hospitals. It claimed the likely COVID-19 deaths could be between 1,08,721 and 1,26,841 against the reported number of 12,943, almost 8.4 to 9.8 times the official count. State Health Minister M Subramanian said they don't need to hide COVID-19 deaths.",national
"Covishield single dose 61% effective against Delta, two doses 65%: COVID panel chief","A single dose of Covishield vaccine is 61% effective against Delta variant of coronavirus, while two doses are 65% effective, said NK Arora, the chairman of NTAGI's COVID-19 Working Group. He said this result was based on a study conducted in the middle of ""Delta surge"" by the Christian Medical College (CMC), Vellore with a sample size of ""several thousands"".",national
"25-yr-old, who left engineering job to sell ganja with boyfriend in B'luru, held","A 25-year-old woman, who quit her engineering job in Chennai to sell marijuana with her boyfriend in Bengaluru, was arrested while delivering a packet of ganja in Sadashivanagar. Police said that the woman's boyfriend had coaxed her into peddling ganja. She confessed to the police that she used to sell 50 grams of marijuana for ₹2,000 to ₹3,000.",national
"Bihar man gets 3-yr jail for violating COVID norms in Bahrain, family seeks govt's help","Bihar native Mohammad Khalid has been sentenced to three-year jail and fined ₹9.73 lakh for violating COVID-19 norms in Bahrain. A video claimed Khalid was roaming outside with Electronic Tracker Wristband during mandatory quarantine. His family approached External Affairs Minister S Jaishankar, saying he was illegally arrested as his quarantine period was over and he had tested COVID-19 negative.",national
C'garh police register FIR against Ramdev over 'false' info on allopathy,"Raipur police have registered an FIR against Baba Ramdev for allegedly spreading ""false"" information about the medicines being used by the medical fraternity for treating COVID-19, said a police official. The case was filed on Wednesday based on a complaint filed by Indian Medical Association's (IMA) Chhattisgarh unit, said Raipur’s Senior Superintendent of Police Ajay Yadav.",national
